cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,blank_col_12,format,stat_type,source,source_url
42657,42657,Shoaib Malik,PAK,Shoaib Malik (PAK),1999-2019,287,285,98,98,0,0,98,2 (2ct 0st),0.343,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
37232,37232,CZ Harris,NZ,CZ Harris (NZ),1990-2004,250,247,96,96,0,0,96,4 (4ct 0st),0.388,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
48462,48462,PA de Silva,SL,PA de Silva (SL),1984-2003,308,307,95,95,0,0,95,3 (3ct 0st),0.309,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
50744,50744,HP Tillakaratne,SL,HP Tillakaratne (SL),1986-2003,200,199,95,89,6,39,50,5 (5ct 0st),0.477,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
36084,36084,Yuvraj Singh,Asia/IND,Yuvraj Singh (Asia/IND),2000-2017,304,298,94,94,0,0,94,3 (3ct 0st),0.315,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
35263,35263,V Sehwag,Asia/ICC/IND,V Sehwag (Asia/ICC/IND),1999-2013,251,246,93,93,0,0,93,3 (3ct 0st),0.378,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
325026,325026,GJ Maxwell,AUS,GJ Maxwell (AUS),2012-2025,149,149,91,91,0,0,91,4 (4ct 0st),0.61,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
303669,303669,JE Root,ENG,JE Root (ENG),2013-2026,189,185,91,91,0,0,91,4 (4ct 0st),0.491,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
40551,40551,Ijaz Ahmed,PAK,Ijaz Ahmed (PAK),1986-2000,250,249,90,90,0,0,90,3 (3ct 0st),0.361,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
31038,31038,KS More,IND,KS More (IND),1984-1993,94,93,90,63,27,63,0,5 (3ct 2st),0.967,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
422108,422108,KL Rahul,IND,KL Rahul (IND),2016-2026,96,96,90,82,8,70,12,4 (4ct 0st),0.937,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
267192,267192,SPD Smith,AUS,SPD Smith (AUS),2010-2025,170,170,90,90,0,0,90,3 (3ct 0st),0.529,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
317273,317273,Umar Akmal,PAK,Umar Akmal (PAK),2009-2019,121,119,90,77,13,45,32,5 (5ct 0st),0.756,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
419873,419873,Mohammad Shahzad,AFG,Mohammad Shahzad (AFG),2009-2019,84,83,89,64,25,63,1,5 (4ct 1st),1.072,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
38710,38710,DL Vettori,ICC/NZ,DL Vettori (ICC/NZ),1997-2015,295,289,88,88,0,0,88,2 (2ct 0st),0.304,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
43547,43547,Wasim Akram,PAK,Wasim Akram (PAK),1984-2003,356,352,88,88,0,0,88,3 (3ct 0st),0.25,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
