cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
580702,580702,T Filer,EST,T Filer (EST),2021-2021,5,5,0,50,38,10,55,90.9,0,0,3,4,1
311427,311427,Hamid Hassan,AFG,Hamid Hassan (AFG),2010-2021,25,9,6,50,22,16.66,46,108.69,0,0,0,3,2
345292,345292,K Hardat,SUR,K Hardat (SUR),2024-2024,7,7,1,50,26,8.33,57,87.71,0,0,1,7,0
926629,926629,Hasan Mahmud,BAN,Hasan Mahmud (BAN),2020-2025,26,9,7,50,26*,25,51,98.03,0,0,1,0,4
1451258,1451258,AA Hawoe,INA,AA Hawoe (INA),2024-2026,19,9,4,50,30*,10,33,151.51,0,0,1,2,4
1281561,1281561,Iftekar Jaman,CYP,Iftekar Jaman (CYP),2021-2022,5,4,1,50,22,16.66,36,138.88,0,0,0,3,4
1195670,1195670,K Klein,NED,K Klein (NED),2024-2026,20,11,3,50,16,6.25,64,78.12,0,0,2,2,0
1156466,1156466,Md Nurul Huda,FIN,Md Nurul Huda (FIN),2019-2019,5,4,2,50,30*,25,32,156.25,0,0,0,4,2
1440949,1440949,Mohammad Bhaidu,Zamb,Mohammad Bhaidu (Zamb),2025-2025,7,6,0,50,17,8.33,77,64.93,0,0,1,4,1
43650,43650,Mohammad Yousuf,PAK,Mohammad Yousuf (PAK),2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
