cricinfo_id,unique_player_id,final_player_name,source_country_text
5733,5733,A Hurwood,AUS
414052,414052,A Husain,ARG
1362925,1362925,A Ilaoa,Samoa
6000,6000,A Jackson,AUS
29632,29632,A Jadeja,IND
1271979,1271979,A Johnmary,Fran
1323683,1323683,A Johnson,CAN
1318868,1318868,A Kadowaki Fleming,JPN
637794,637794,A Kainessie,SLE
1337309,1337309,A Kalasi,THA
1175428,1175428,A Kamboj,IND
1205882,1205882,A Kansonkho,MWI
649043,649043,A Kapoor,CAN
524093,524093,A Karn,NEP
1115860,1115860,A Karvelas,GRC
1301857,1301857,A Kaul,SGP
1542290,1542290,A Kessar,SGP
1541842,1541842,A Khakimov,UZB
23911,23911,A Khan,ENG
23911,23911,A Khan,DEN/ENG
1541830,1541830,A Khasanov,UZB
1204131,1204131,A Kheterpal,HUN
1193269,1193269,A Kirschbaum,ARG
775019,775019,A Krishna,SGP
1247759,1247759,A Kumal,NEP
30176,30176,A Kumble,IND
30176,30176,A Kumble,Asia/IND
30182,30182,A Kuruvilla,IND
1481330,1481330,A Kuthalingham,
1203931,1203931,A Lagos,GRC
1163181,1163181,A Langham,STHEL
382119,382119,A Lark,AUT
1489203,1489203,A Lazic,SRB
1334805,1334805,A Limdawala,MWI
251721,251721,A Lyth,ENG
1382803,1382803,A Magdalenic,CRT
1323451,1323451,A Maheshwari,CRT
1143539,1143539,A Makesh,KUW
1267525,1267525,A Manatos,GRC
1230627,1230627,A Manepalli,LUX
520081,520081,A Manousis,GRC
275654,275654,A Mansale,VAN
55573,55573,A Maregwede,ZIM
414979,414979,A Martel,GUE
245373,245373,A Martin,WI
469114,469114,A McAuley,IOM
16975,16975,A McGrath,ENG
1481323,1481323,A McKnight,
497512,497512,A Mehmood,HKG
46221,46221,A Melville,SA
1089929,1089929,A Mene-Ejegi,SRB
31107,31107,A Mishra,IND
1528649,1528649,A Mishra,GHA
17045,17045,A Mitchell,ENG
310958,310958,A Mithun,IND
1337302,1337302,A Modi,SGP
1337239,1337239,A Mongar,BHU
379537,379537,A Morris,CAY
1343669,1343669,A Mucyodusenge,RWN
302582,302582,A Mukund,IND
1442095,1442095,A Mundra,SWE
1541843,1541843,A Musaev,UZB
307179,307179,A Mustafa,ARG
579109,579109,A Mutreja,SGP
1460178,1460178,A Nagarajan,QAT
1198917,1198917,A Nanda,LUX
524247,524247,A Nao,PNG
1198871,1198871,A Nathwani,AUT
1182028,1182028,A Natubhai Ahir,PAN
596456,596456,A Ndlovu,ZIM
31820,31820,A Nehra,IND
31820,31820,A Nehra,Asia/IND
1148466,1148466,A Neill,SCOT
46569,46569,A Nel,SA
1450927,1450927,A Nimaga,Mali
481979,481979,A Nortje,SA
1046617,1046617,A Orfila,GIBR
1107679,1107679,A Osei,GHA
473393,473393,A Otwani,UGA
1463244,1463244,A Oxley,Blz
1333965,1333965,A Parima,COK
23770,23770,A Patel,CAN
1205884,1205884,A Patel,MWI
1325900,1325900,A Paul,EST
914467,914467,A Phillip,WI
290633,290633,A Poulose,OMA
1380785,1380785,A Prashar,HUN
1156468,1156468,A Pusthay,FIN
1392862,1392862,A Rajshekara,ROM
50244,50244,A Ranatunga,SL
469212,469212,A Randhawa,AUT
859409,859409,A Rangaswamy,BOT
33127,33127,A Ratra,IND
1497611,1497611,A Razmilic,CRT
523245,523245,A Reyes,GIBR
46996,46996,A Rose-Innes,SA
1540089,1540089,A Roy,NED
20058,20058,A Sandham,ENG
52957,52957,A Sanford,WI
1046605,1046605,A Sarma,GER
1181998,1181998,A Sathya,MEX
1445603,1445603,A Sathyan,CRT
