cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,format
1206188,1206188,K Tathgur,CAN,K Tathgur (CAN),2024-2024,1,1,0,0,0,0,0,0,0,odi
21484,21484,JP Taylor,ENG,JP Taylor (ENG),1993-1993,1,1,0,0,0,0,0,0,0,odi
21486,21486,LB Taylor,ENG,LB Taylor (ENG),1986-1986,2,2,0,0,0,0,0,0,0,odi
47541,47541,DJ Terbrugge,SA,DJ Terbrugge (SA),2000-2000,4,4,0,0,0,0,0,0,0,odi
960035,960035,DJ ter Braak,NED,DJ ter Braak (NED),2018-2018,2,2,0,0,0,0,0,0,0,odi
414985,414985,VAB Tewarie,NED,VAB Tewarie (NED),2011-2011,1,1,0,0,0,0,0,0,0,odi
21512,21512,JG Thomas,ENG,JG Thomas (ENG),1986-1987,3,3,0,0,0,0,0,0,0,odi
38626,38626,EP Thompson,NZ,EP Thompson (NZ),2009-2009,1,1,0,0,0,0,0,0,0,odi
53130,53130,PIC Thompson,WI,PIC Thompson (WI),1997-1997,2,2,0,0,0,0,0,0,0,odi
7944,7944,AL Thomson,AUS,AL Thomson (AUS),1971-1971,1,1,0,0,0,0,0,0,0,odi
50745,50745,MH Tissera,SL,MH Tissera (SL),1975-1975,3,3,0,0,0,0,0,0,0,odi
53153,53153,GC Tonge,WI,GC Tonge (WI),2009-2009,5,5,0,0,0,0,0,0,0,odi
7959,7959,PM Toohey,AUS,PM Toohey (AUS),1978-1979,5,4,0,0,0,0,0,0,0,odi
7970,7970,GS Trimble,AUS,GS Trimble (AUS),1986-1986,2,2,0,0,0,0,0,0,0,odi
47663,47663,MS Tshabalala,SA,MS Tshabalala (SA),2007-2007,4,4,0,0,0,0,0,0,0,odi
959823,959823,CK Tshuma,ZIM,CK Tshuma (ZIM),2020-2020,2,2,0,0,0,0,0,0,0,odi
53132,53132,CM Tuckett,WI,CM Tuckett (WI),1998-1998,1,1,0,0,0,0,0,0,0,odi
1261866,1261866,JA Turner,ENG,JA Turner (ENG),2024-2024,2,2,0,0,0,0,0,0,0,odi
50802,50802,ML Udawatte,SL,ML Udawatte (SL),2008-2008,9,9,0,0,0,0,0,0,0,odi
1123428,1123428,Usman Khan,PAK,Usman Khan (PAK),2025-2025,2,2,0,0,0,0,0,0,0,odi
43515,43515,Usman Mushtaq,UAE,Usman Mushtaq (UAE),2015-2015,1,1,0,0,0,0,0,0,0,odi
772469,772469,Usman Rafiq,USA,Usman Rafiq (USA),2023-2023,2,2,0,0,0,0,0,0,0,odi
50809,50809,MG Vandort,SL,MG Vandort (SL),2006-2006,1,1,0,0,0,0,0,0,0,odi
25023,25023,MWA van Nierop,NED,MWA van Nierop (NED),2006-2006,2,2,0,0,0,0,0,0,0,odi
24974,24974,KJJ van Noortwijk,NED,KJJ van Noortwijk (NED),1996-2003,9,9,0,0,0,0,0,0,0,odi
24798,24798,BO van Rooi,NAM,BO van Rooi (NAM),2003-2003,3,3,0,0,0,0,0,0,0,odi
24825,24825,RJ van Vuuren,NAM,RJ van Vuuren (NAM),2003-2003,5,5,0,0,0,0,0,0,0,odi
47715,47715,CJPG van Zyl,SA,CJPG van Zyl (SA),1992-1992,2,2,0,0,0,0,0,0,0,odi
1108375,1108375,CV Varun,IND,CV Varun (IND),2025-2025,4,4,0,0,0,0,0,0,0,odi
23795,23795,JCB Vaughan,CAN,JCB Vaughan (CAN),1979-1979,3,3,0,0,0,0,0,0,0,odi
35657,35657,M Venkataramana,IND,M Venkataramana (IND),1988-1988,1,1,0,0,0,0,0,0,0,odi
38711,38711,GE Vivian,NZ,GE Vivian (NZ),1973-1973,1,1,0,0,0,0,0,0,0,odi
50807,50807,DM Vonhagt,SL,DM Vonhagt (SL),1985-1985,1,1,0,0,0,0,0,0,0,odi
56162,56162,Wahidul Gani,BAN,Wahidul Gani (BAN),1988-1988,1,1,0,0,0,0,0,0,0,odi
38740,38740,KP Walmsley,NZ,KP Walmsley (NZ),2003-2003,2,2,0,0,0,0,0,0,0,odi
24835,24835,R Walters,NAM,R Walters (NAM),2003-2003,2,2,0,0,0,0,0,0,0,odi
24010,24010,S Walusimbi,EAf,S Walusimbi (EAf),1975-1975,3,3,0,0,0,0,0,0,0,odi
633426,633426,Waqas Khan,HKG,Waqas Khan (HKG),2015-2017,8,8,0,0,0,0,0,0,0,odi
43550,43550,Wasim Haider,PAK,Wasim Haider (PAK),1992-1992,3,3,0,0,0,0,0,0,0,odi
22333,22333,SL Watkin,ENG,SL Watkin (ENG),1994-1994,4,4,0,0,0,0,0,0,0,odi
22328,22328,M Watkinson,ENG,M Watkinson (ENG),1996-1996,1,1,0,0,0,0,0,0,0,odi
8176,8176,GD Watson,AUS,GD Watson (AUS),1972-1972,2,2,0,0,0,0,0,0,0,odi
38746,38746,RJ Webb,NZ,RJ Webb (NZ),1983-1983,3,3,0,0,0,0,0,0,0,odi
50837,50837,AP Weerakkody,SL,AP Weerakkody (SL),1994-1994,1,1,0,0,0,0,0,0,0,odi
50914,50914,S Weerakoon,SL,S Weerakoon (SL),2012-2012,2,2,0,0,0,0,0,0,0,odi
22361,22361,AP Wells,ENG,AP Wells (ENG),1995-1995,1,1,0,0,0,0,0,0,0,odi
22363,22363,CM Wells,ENG,CM Wells (ENG),1985-1985,2,2,0,0,0,0,0,0,0,odi
50879,50879,MD Wettimuny,SL,MD Wettimuny (SL),1983-1983,1,1,0,0,0,0,0,0,0,odi
50840,50840,SRD Wettimuny,SL,SRD Wettimuny (SL),1975-1979,3,3,0,0,0,0,0,0,0,odi
492924,492924,K Whatham,CAN,K Whatham (CAN),2011-2011,1,1,0,0,0,0,0,0,0,odi
8210,8210,DF Whatmore,AUS,DF Whatmore (AUS),1980-1980,1,1,0,0,0,0,0,0,0,odi
245186,245186,RK Whelan,IRE,RK Whelan (IRE),2007-2007,2,2,0,0,0,0,0,0,0,odi
